EmployeeNumber,EmployeeName,Department,JobRole,Attrition_Prob,Risk,occupation_title,gap_count,skill_gap,recommendation
451,Tariq Baker,Research & Development,Healthcare Representative,0.467,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Active Learning, Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
452,Sofia Kumar,Research & Development,Research Scientist,0.137,LOW,Natural Sciences Managers,1,Writing,Priority: Writing -> Business Writing Essentials
453,Carol Singh (453),Sales,Sales Executive,0.545,MEDIUM,Sales Managers,4,"Microsoft Office software, Microsoft PowerPoint, Reading Comprehension, Speaking",Priority: Microsoft Office software -> Microsoft Office Essentials
454,Donald Kim,Research & Development,Laboratory Technician,0.793,HIGH,Chemical Technicians,4,"Microsoft Excel, Microsoft Outlook, Science, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
455,Susan Ibrahim,Research & Development,Laboratory Technician,0.389,MEDIUM,Chemical Technicians,3,"Microsoft Excel, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
456,Nancy Reddy,Sales,Sales Executive,0.064,LOW,Sales Managers,3,"Active Learning, Monitoring, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
458,Wang Sanchez,Sales,Sales Executive,0.138,LOW,Sales Managers,3,"Active Learning, Microsoft Excel, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
460,Tran Brown,Research & Development,Manufacturing Director,0.051,LOW,Industrial Production Managers,5,"Critical Thinking, Microsoft PowerPoint, Monitoring, Reading Comprehension, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
461,Divya Kim,Research & Development,Research Director,0.028,LOW,Natural Sciences Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
462,David Rodriguez,Research & Development,Manufacturing Director,0.415,MEDIUM,Industrial Production Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
463,Ivan Hernandez (463),Sales,Sales Executive,0.492,MEDIUM,Sales Managers,1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
464,Divya Yang,Research & Development,Manufacturing Director,0.062,LOW,Industrial Production Managers,3,"Active Listening, Microsoft PowerPoint, Speaking",Priority: Active Listening -> Active Listening for Managers
465,Robert Hill,Research & Development,Research Scientist,0.103,LOW,Natural Sciences Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
466,Ashley Rao,Research & Development,Manufacturing Director,0.727,HIGH,Industrial Production Managers,4,"Learning Strategies, Microsoft Excel, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
467,Piotr Moore (467),Sales,Sales Representative,0.868,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Active Listening, Microsoft Office software, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
468,Emily Chowdhury,Research & Development,Research Director,0.086,LOW,Natural Sciences Managers,2,"Monitoring, Writing",Priority: Monitoring -> Performance Monitoring & KPIs
469,Sergei Miller,Sales,Sales Executive,0.08,LOW,Sales Managers,3,"Active Learning, Microsoft Office software, Microsoft Outlook",Priority: Microsoft Office software -> Microsoft Office Essentials
470,Jessica Muller,Human Resources,Human Resources,0.571,MEDIUM,Human Resources Specialists,3,"Microsoft Excel, Microsoft Office software, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
471,Deborah Khan (471),Research & Development,Laboratory Technician,0.097,LOW,Chemical Technicians,3,"Critical Thinking, Microsoft Office software, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
473,Deborah Miller,Sales,Manager,0.395,MEDIUM,General and Operations Managers,2,"Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
474,Emily Johnson,Research & Development,Research Scientist,0.384,MEDIUM,Natural Sciences Managers,2,"Active Listening, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
475,Kevin Ivanova,Sales,Sales Executive,0.669,HIGH,Sales Managers,5,"Active Learning, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
476,Jun Ivanova,Sales,Sales Executive,0.163,LOW,Sales Managers,5,"Active Learning, Active Listening, Microsoft Excel, Microsoft PowerPoint, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
477,Stephanie Rivera,Research & Development,Healthcare Representative,0.05,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Active Listening, Microsoft Office software",Priority: Active Listening -> Active Listening for Managers
478,Yusuf Walker,Sales,Sales Representative,0.992,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Active Learning, Speaking, Writing",Priority: Writing -> Business Writing Essentials
479,Linda Wang,Sales,Sales Executive,0.06,LOW,Sales Managers,4,"Active Learning, Active Listening, Microsoft Office software, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
481,Linda Hernandez,Sales,Sales Executive,0.526,MEDIUM,Sales Managers,2,"Reading Comprehension, Speaking",Priority: Reading Comprehension -> Business Writing & Comprehension
482,Karen Martin,Research & Development,Healthcare Representative,0.011,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Active Listening, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
483,Zhang Nelson (483),Research & Development,Laboratory Technician,0.144,LOW,Chemical Technicians,4,"Active Listening, Microsoft Office software, Reading Comprehension, Science",Priority: Active Listening -> Active Listening for Managers
484,Michael Rahman,Sales,Sales Representative,0.585,MEDIUM,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Active Listening, Microsoft Excel, Salesforce software, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
485,Karen Ali (485),Sales,Sales Representative,0.961,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Microsoft Excel, Reading Comprehension, Salesforce software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
486,Hassan Jackson,Research & Development,Laboratory Technician,0.241,LOW,Chemical Technicians,2,"Microsoft Office software, Microsoft Outlook",Priority: Microsoft Office software -> Microsoft Office Essentials
487,Emily Carter,Research & Development,Manufacturing Director,0.021,LOW,Industrial Production Managers,3,"Learning Strategies, Monitoring, Speaking",Priority: Monitoring -> Performance Monitoring & KPIs
488,Klara Patel,Sales,Sales Executive,0.701,HIGH,Sales Managers,5,"Active Learning, Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
491,Robert Kumar,Research & Development,Healthcare Representative,0.072,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Microsoft Office software, Salesforce software",Priority: Microsoft Office software -> Microsoft Office Essentials
492,Mary Chowdhury,Sales,Sales Executive,0.838,HIGH,Sales Managers,3,"Active Learning, Active Listening, Speaking",Priority: Active Listening -> Active Listening for Managers
493,William Johnson (493),Research & Development,Research Scientist,0.492,MEDIUM,Natural Sciences Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
494,Lee Lee,Sales,Sales Representative,0.876,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Speaking,Priority: Speaking -> Public Speaking & Presentation Skills
495,Chen Martinez,Research & Development,Research Scientist,0.263,LOW,Natural Sciences Managers,2,"Microsoft Office software, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
496,Andrew Torres,Research & Development,Healthcare Representative,0.427,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
497,Ananya Rivera (497),Research & Development,Laboratory Technician,0.129,LOW,Chemical Technicians,3,"Critical Thinking, Microsoft Outlook, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
498,David Jackson,Sales,Sales Executive,0.206,LOW,Sales Managers,2,"Active Learning, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
499,Yusuf Ahmed,Research & Development,Healthcare Representative,0.157,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Salesforce software,Priority: Salesforce software -> Salesforce Administrator Certification
500,Chen Gonzalez,Sales,Sales Executive,0.022,LOW,Sales Managers,3,"Active Learning, Microsoft Office software, Microsoft Outlook",Priority: Microsoft Office software -> Microsoft Office Essentials
501,Anthony Martinez,Research & Development,Research Scientist,0.038,LOW,Natural Sciences Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
502,Klara Iyer,Sales,Sales Executive,0.819,HIGH,Sales Managers,4,"Microsoft Outlook, Microsoft PowerPoint, Monitoring, Speaking",Priority: Monitoring -> Performance Monitoring & KPIs
505,Park Martinez,Research & Development,Manager,0.062,LOW,General and Operations Managers,1,Active Learning,Priority: Active Learning -> Learning How to Learn
507,Jun Robinson,Sales,Sales Executive,0.237,LOW,Sales Managers,4,"Active Learning, Critical Thinking, Microsoft Office software, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
508,David Martinez,Sales,Sales Representative,0.869,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
510,Brian Sanchez,Research & Development,Research Scientist,0.397,MEDIUM,Natural Sciences Managers,2,"Active Listening, Science",Priority: Active Listening -> Active Listening for Managers
511,Hassan Yang,Research & Development,Research Scientist,0.324,MEDIUM,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
513,Stephanie Harris,Sales,Sales Executive,0.728,HIGH,Sales Managers,3,"Active Learning, Microsoft Excel, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
514,Richard Nelson,Research & Development,Research Scientist,0.961,HIGH,Natural Sciences Managers,2,"Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
515,Michael Davis,Research & Development,Laboratory Technician,0.195,LOW,Chemical Technicians,2,"Active Listening, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
516,Ivan Singh,Sales,Sales Executive,0.117,LOW,Sales Managers,5,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
517,Ali Huang,Research & Development,Laboratory Technician,0.26,LOW,Chemical Technicians,2,"Monitoring, Science",Priority: Monitoring -> Performance Monitoring & KPIs
518,Steven Clark (518),Research & Development,Manufacturing Director,0.261,LOW,Industrial Production Managers,4,"Active Listening, Microsoft Excel, Monitoring, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
520,Susan Nelson,Research & Development,Research Director,0.015,LOW,Natural Sciences Managers,4,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
521,Tariq Smith,Research & Development,Laboratory Technician,0.482,MEDIUM,Chemical Technicians,2,"Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
522,Thomas Siddiqui,Research & Development,Research Director,0.069,LOW,Natural Sciences Managers,4,"Active Listening, Microsoft Excel, Monitoring, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
523,Nguyen Flores,Sales,Sales Executive,0.175,LOW,Sales Managers,5,"Active Learning, Active Listening, Critical Thinking, Microsoft Office software, Microsoft Outlook",Priority: Critical Thinking -> Structured Problem Solving workshop
524,Sanjay Brown,Research & Development,Manufacturing Director,0.137,LOW,Industrial Production Managers,5,"Active Listening, Microsoft Excel, Microsoft Office software, Monitoring, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
525,Yuki Moreau,Research & Development,Laboratory Technician,0.678,HIGH,Chemical Technicians,2,"Active Listening, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
526,Michael Rivera,Research & Development,Healthcare Representative,0.06,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Critical Thinking, Reading Comprehension, Salesforce software, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
527,Steven Patel (527),Sales,Sales Executive,0.788,HIGH,Sales Managers,3,"Microsoft Outlook, Monitoring, Speaking",Priority: Monitoring -> Performance Monitoring & KPIs
529,Arjun Singh,Research & Development,Research Scientist,0.439,MEDIUM,Natural Sciences Managers,4,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
530,Wei Campbell,Research & Development,Laboratory Technician,0.532,MEDIUM,Chemical Technicians,2,"Microsoft Outlook, Monitoring",Priority: Monitoring -> Performance Monitoring & KPIs
531,Omar Rahman (531),Research & Development,Manager,0.245,LOW,General and Operations Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
532,Arjun Miller,Sales,Sales Executive,0.254,LOW,Sales Managers,4,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
533,Melissa Dubois,Sales,Sales Executive,0.463,MEDIUM,Sales Managers,3,"Active Learning, Microsoft Outlook, Speaking",Priority: Microsoft Outlook -> Effective Email & Calendar Management
534,Andrew Harris,Sales,Sales Executive,0.189,LOW,Sales Managers,3,"Active Listening, Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
536,Ashley Nair (536),Research & Development,Laboratory Technician,0.361,MEDIUM,Chemical Technicians,4,"Active Listening, Microsoft Excel, Microsoft Office software, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
538,Ravi Wright (538),Research & Development,Laboratory Technician,0.488,MEDIUM,Chemical Technicians,3,"Critical Thinking, Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
543,Wang Rahman,Research & Development,Manufacturing Director,0.068,LOW,Industrial Production Managers,3,"Critical Thinking, Learning Strategies, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
544,Sanjay Wright (544),Research & Development,Research Scientist,0.04,LOW,Natural Sciences Managers,3,"Microsoft PowerPoint, Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
546,Joseph Gupta,Research & Development,Manager,0.005,LOW,General and Operations Managers,2,"Microsoft Office software, Speaking",Priority: Microsoft Office software -> Microsoft Office Essentials
547,Piotr Petrov,Research & Development,Research Scientist,0.198,LOW,Natural Sciences Managers,4,"Active Listening, Reading Comprehension, Science, Writing",Priority: Active Listening -> Active Listening for Managers
548,Ivan Hernandez (548),Research & Development,Manufacturing Director,0.166,LOW,Industrial Production Managers,4,"Active Listening, Microsoft Excel, Microsoft Office software, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
549,Tariq Rodriguez,Research & Development,Manager,0.358,MEDIUM,General and Operations Managers,4,"Active Learning, Microsoft Excel, Microsoft PowerPoint, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
550,Anna Nelson,Research & Development,Manufacturing Director,0.006,LOW,Industrial Production Managers,4,"Active Listening, Critical Thinking, Monitoring, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
551,Robert Lewis,Research & Development,Healthcare Representative,0.021,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
554,Kim King,Sales,Sales Representative,0.934,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Writing,Priority: Writing -> Business Writing Essentials
555,Elizabeth White,Sales,Sales Representative,0.695,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Active Listening, Microsoft Excel, Reading Comprehension, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
556,Charles Scott,Research & Development,Laboratory Technician,0.65,HIGH,Chemical Technicians,2,"Critical Thinking, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
558,Olga Hernandez,Sales,Manager,0.01,LOW,General and Operations Managers,2,"Active Learning, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
560,Kim Petrov,Research & Development,Research Scientist,0.114,LOW,Natural Sciences Managers,3,"Microsoft Excel, Microsoft PowerPoint, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
562,Timothy Petrov,Research & Development,Laboratory Technician,0.061,LOW,Chemical Technicians,2,"Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
564,Layla Johnson,Research & Development,Research Director,0.023,LOW,Natural Sciences Managers,2,"Reading Comprehension, Science",Priority: Reading Comprehension -> Business Writing & Comprehension
565,Karen Sanchez,Research & Development,Research Scientist,0.6,MEDIUM,Natural Sciences Managers,3,"Critical Thinking, Science, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
566,Steven Allen,Human Resources,Human Resources,0.86,HIGH,Human Resources Specialists,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
567,Donald Ramirez,Sales,Sales Executive,0.095,LOW,Sales Managers,2,"Microsoft Outlook, Speaking",Priority: Microsoft Outlook -> Effective Email & Calendar Management
568,Barbara Kowalski,Sales,Manager,0.225,LOW,General and Operations Managers,2,"Active Learning, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
569,Mark Wang (569),Research & Development,Manager,0.221,LOW,General and Operations Managers,2,"Active Learning, Active Listening",Priority: Active Listening -> Active Listening for Managers
571,George Davis,Research & Development,Laboratory Technician,0.074,LOW,Chemical Technicians,2,"Reading Comprehension, Science",Priority: Reading Comprehension -> Business Writing & Comprehension
573,Tran Robinson,Sales,Sales Executive,0.339,MEDIUM,Sales Managers,4,"Critical Thinking, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
574,Michelle Ali,Research & Development,Manufacturing Director,0.013,LOW,Industrial Production Managers,3,"Learning Strategies, Microsoft Excel, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
575,Tariq Wilson (575),Research & Development,Research Director,0.055,LOW,Natural Sciences Managers,4,"Microsoft Excel, Microsoft Office software, Reading Comprehension, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
577,Olga Ibrahim,Research & Development,Laboratory Technician,0.725,HIGH,Chemical Technicians,2,"Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
578,Klara Perez,Research & Development,Laboratory Technician,0.567,MEDIUM,Chemical Technicians,3,"Active Listening, Reading Comprehension, Science",Priority: Active Listening -> Active Listening for Managers
579,Donald Ali,Research & Development,Research Scientist,0.022,LOW,Natural Sciences Managers,4,"Active Listening, Critical Thinking, Microsoft Office software, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
580,Yuki Farooq,Sales,Sales Executive,0.222,LOW,Sales Managers,5,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
581,Sandra Garcia,Research & Development,Manufacturing Director,0.01,LOW,Industrial Production Managers,3,"Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint",Priority: Microsoft Office software -> Microsoft Office Essentials
582,Elena Nelson,Research & Development,Manager,0.639,HIGH,General and Operations Managers,4,"Active Listening, Microsoft Excel, Microsoft Office software, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
584,Sandra Muller,Research & Development,Laboratory Technician,0.68,HIGH,Chemical Technicians,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
585,Amit Park,Sales,Sales Representative,0.701,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Active Listening, Microsoft Excel, Salesforce software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
586,Ravi Yang,Research & Development,Healthcare Representative,0.479,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Listening, Critical Thinking, Microsoft Outlook, Salesforce software",Priority: Critical Thinking -> Structured Problem Solving workshop
587,Aisha Thompson,Research & Development,Healthcare Representative,0.725,HIGH,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Listening, Microsoft Outlook, Reading Comprehension, Writing",Priority: Active Listening -> Active Listening for Managers
590,Sofia Wang,Human Resources,Human Resources,0.977,HIGH,Human Resources Specialists,2,"Active Learning, Microsoft Office software",Priority: Microsoft Office software -> Microsoft Office Essentials
591,Michael Clark,Research & Development,Laboratory Technician,0.273,LOW,Chemical Technicians,3,"Active Listening, Science, Writing",Priority: Active Listening -> Active Listening for Managers
592,Anna Farooq,Sales,Sales Executive,0.436,MEDIUM,Sales Managers,5,"Active Learning, Active Listening, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
593,Mary Rivera,Research & Development,Laboratory Technician,0.764,HIGH,Chemical Technicians,2,"Active Listening, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
595,Lee Yang,Sales,Sales Executive,0.155,LOW,Sales Managers,3,"Active Learning, Microsoft Office software, Monitoring",Priority: Microsoft Office software -> Microsoft Office Essentials
597,Deborah Yang,Sales,Manager,0.079,LOW,General and Operations Managers,2,"Active Listening, Speaking",Priority: Active Listening -> Active Listening for Managers
599,Zhang Mitchell (599),Sales,Sales Executive,0.069,LOW,Sales Managers,2,"Microsoft Office software, Microsoft Outlook",Priority: Microsoft Office software -> Microsoft Office Essentials
600,Sergei Davis,Sales,Sales Executive,0.569,MEDIUM,Sales Managers,4,"Active Listening, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
601,Wei Adams,Research & Development,Manufacturing Director,0.401,MEDIUM,Industrial Production Managers,2,"Critical Thinking, Learning Strategies",Priority: Critical Thinking -> Structured Problem Solving workshop
602,Lisa Khan,Research & Development,Laboratory Technician,0.267,LOW,Chemical Technicians,4,"Critical Thinking, Monitoring, Reading Comprehension, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
604,Sanjay Wilson,Sales,Sales Executive,0.521,MEDIUM,Sales Managers,4,"Active Learning, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
605,Ananya Lopez,Research & Development,Manufacturing Director,0.525,MEDIUM,Industrial Production Managers,5,"Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
606,Chen Torres,Sales,Sales Executive,0.016,LOW,Sales Managers,2,"Active Learning, Microsoft Outlook",Priority: Microsoft Outlook -> Effective Email & Calendar Management
608,Andrew Davis,Human Resources,Human Resources,0.847,HIGH,Human Resources Specialists,3,"Active Listening, Speaking, Writing",Priority: Active Listening -> Active Listening for Managers
611,Ananya Gupta,Research & Development,Manufacturing Director,0.143,LOW,Industrial Production Managers,2,"Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Office software -> Microsoft Office Essentials
612,Piotr Chen,Research & Development,Research Director,0.012,LOW,Natural Sciences Managers,4,"Critical Thinking, Microsoft Office software, Monitoring, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
613,Margaret Hussain (613),Sales,Manager,0.365,MEDIUM,General and Operations Managers,2,"Active Listening, Speaking",Priority: Active Listening -> Active Listening for Managers
614,Matthew Scott,Sales,Sales Representative,0.984,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Active Listening, Microsoft Office software, Reading Comprehension, Writing",Priority: Active Listening -> Active Listening for Managers
615,Ashley Chen,Sales,Sales Executive,0.041,LOW,Sales Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
616,Margaret Novak (616),Research & Development,Healthcare Representative,0.089,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Critical Thinking, Salesforce software, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
618,Karen Ferrari,Sales,Sales Executive,0.735,HIGH,Sales Managers,3,"Critical Thinking, Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
620,Mei Harris,Sales,Sales Executive,0.292,LOW,Sales Managers,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
621,Andrew Jones,Sales,Sales Executive,0.184,LOW,Sales Managers,3,"Active Listening, Microsoft Outlook, Microsoft PowerPoint",Priority: Active Listening -> Active Listening for Managers
622,William Harris,Research & Development,Laboratory Technician,0.995,HIGH,Chemical Technicians,4,"Active Listening, Monitoring, Reading Comprehension, Writing",Priority: Active Listening -> Active Listening for Managers
623,Steven Taylor,Research & Development,Manufacturing Director,0.164,LOW,Industrial Production Managers,5,"Critical Thinking, Microsoft Office software, Monitoring, Reading Comprehension, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
624,Mary Johnson,Research & Development,Healthcare Representative,0.088,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",5,"Active Listening, Critical Thinking, Microsoft Excel, Reading Comprehension, Salesforce software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
625,John Moore,Sales,Manager,0.29,LOW,General and Operations Managers,3,"Active Learning, Microsoft Excel, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
626,Elizabeth Iyer,Sales,Sales Executive,0.203,LOW,Sales Managers,3,"Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
630,Susan Campbell,Research & Development,Research Scientist,0.236,LOW,Natural Sciences Managers,2,"Active Listening, Monitoring",Priority: Active Listening -> Active Listening for Managers
631,Lisa Davis,Sales,Sales Executive,0.079,LOW,Sales Managers,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
632,Brian Williams (632),Sales,Sales Representative,0.625,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Active Learning, Microsoft Excel, Salesforce software, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
634,Betty Adams,Research & Development,Healthcare Representative,0.013,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Writing,Priority: Writing -> Business Writing Essentials
635,Layla Walker,Research & Development,Manufacturing Director,0.471,MEDIUM,Industrial Production Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
638,Ashley Mitchell,Research & Development,Research Director,0.005,LOW,Natural Sciences Managers,3,"Active Listening, Microsoft Excel, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
639,Linda Torres,Research & Development,Research Scientist,0.426,MEDIUM,Natural Sciences Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
641,Ivan Davis,Sales,Sales Executive,0.34,MEDIUM,Sales Managers,5,"Active Learning, Active Listening, Monitoring, Reading Comprehension, Speaking",Priority: Active Listening -> Active Listening for Managers
643,Ravi Jones,Research & Development,Laboratory Technician,0.494,MEDIUM,Chemical Technicians,4,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
644,Michael Campbell,Human Resources,Manager,0.124,LOW,General and Operations Managers,2,"Microsoft PowerPoint, Speaking",Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
